ఆఫ్రికా	Afrique
వర్గం:1840 జననాలు	Catégorie:Naissance en 1840
వర్గం:1841 జననాలు	Catégorie:Naissance en 1841
వర్గం:1842 జననాలు	Catégorie:Naissance en 1842
వర్గం:1843 జననాలు	Catégorie:Naissance en 1843
వర్గం:1844 జననాలు	Catégorie:Naissance en 1844
వర్గం:1845 జననాలు	Catégorie:Naissance en 1845
వర్గం:1846 జననాలు	Catégorie:Naissance en 1846
వర్గం:1847 జననాలు	Catégorie:Naissance en 1847
వర్గం:1848 జననాలు	Catégorie:Naissance en 1848
వర్గం:1849 జననాలు	Catégorie:Naissance en 1849
వర్గం:1850 జననాలు	Catégorie:Naissance en 1850
వర్గం:1851 జననాలు	Catégorie:Naissance en 1851
వర్గం:1852 జననాలు	Catégorie:Naissance en 1852
వర్గం:1853 జననాలు	Catégorie:Naissance en 1853
వర్గం:1854 జననాలు	Catégorie:Naissance en 1854
వర్గం:1855 జననాలు	Catégorie:Naissance en 1855
వర్గం:1857 జననాలు	Catégorie:Naissance en 1857
వర్గం:1858 జననాలు	Catégorie:Naissance en 1858
వర్గం:1859 జననాలు	Catégorie:Naissance en 1859
వర్గం:1860 జననాలు	Catégorie:Naissance en 1860
వర్గం:1861 జననాలు	Catégorie:Naissance en 1861
వర్గం:1864 జననాలు	Catégorie:Naissance en 1864
వర్గం:1865 జననాలు	Catégorie:Naissance en 1865
వర్గం:1866 జననాలు	Catégorie:Naissance en 1866
వర్గం:1869 జననాలు	Catégorie:Naissance en 1869
వర్గం:1870 జననాలు	Catégorie:Naissance en 1870
వర్గం:1872 జననాలు	Catégorie:Naissance en 1872
వర్గం:1873 జననాలు	Catégorie:Naissance en 1873
వర్గం:1874 జననాలు	Catégorie:Naissance en 1874
వర్గం:1876 జననాలు	Catégorie:Naissance en 1876
వర్గం:1877 జననాలు	Catégorie:Naissance en 1877
వర్గం:1878 జననాలు	Catégorie:Naissance en 1878
వర్గం:1880 జననాలు	Catégorie:Naissance en 1880
వర్గం:1882 జననాలు	Catégorie:Naissance en 1882
వర్గం:1883 జననాలు	Catégorie:Naissance en 1883
వర్గం:1884 జననాలు	Catégorie:Naissance en 1884
వర్గం:1885 జననాలు	Catégorie:Naissance en 1885
వర్గం:1886 జననాలు	Catégorie:Naissance en 1886
వర్గం:1887 జననాలు	Catégorie:Naissance en 1887
వర్గం:1889 జననాలు	Catégorie:Naissance en 1889
వర్గం:1890 జననాలు	Catégorie:Naissance en 1890
వర్గం:1891 జననాలు	Catégorie:Naissance en 1891
వర్గం:1892 జననాలు	Catégorie:Naissance en 1892
వర్గం:1893 జననాలు	Catégorie:Naissance en 1893
వర్గం:1894 జననాలు	Catégorie:Naissance en 1894
వర్గం:1895 జననాలు	Catégorie:Naissance en 1895
వర్గం:1896 జననాలు	Catégorie:Naissance en 1896
వర్గం:1897 జననాలు	Catégorie:Naissance en 1897
వర్గం:1900 జననాలు	Catégorie:Naissance en 1900
వర్గం:1901 జననాలు	Catégorie:Naissance en 1901
వర్గం:1902 జననాలు	Catégorie:Naissance en 1902
వర్గం:1904 జననాలు	Catégorie:Naissance en 1904
వర్గం:1905 జననాలు	Catégorie:Naissance en 1905
వర్గం:1907 జననాలు	Catégorie:Naissance en 1907
వర్గం:1908 జననాలు	Catégorie:Naissance en 1908
వర్గం:1909 జననాలు	Catégorie:Naissance en 1909
వర్గం:1912 జననాలు	Catégorie:Naissance en 1912
వర్గం:1913 జననాలు	Catégorie:Naissance en 1913
వర్గం:1914 జననాలు	Catégorie:Naissance en 1914
వర్గం:1917 జననాలు	Catégorie:Naissance en 1917
వర్గం:1918 జననాలు	Catégorie:Naissance en 1918
వర్గం:1919 జననాలు	Catégorie:Naissance en 1919
వర్గం:1922 జననాలు	Catégorie:Naissance en 1922
వర్గం:1923 జననాలు	Catégorie:Naissance en 1923
వర్గం:1927 జననాలు	Catégorie:Naissance en 1927
వర్గం:1928 జననాలు	Catégorie:Naissance en 1928
వర్గం:1942 జననాలు	Catégorie:Naissance en 1942
వర్గం:1943 జననాలు	Catégorie:Naissance en 1943
వర్గం:1945 జననాలు	Catégorie:Naissance en 1945
వర్గం:1947 జననాలు	Catégorie:Naissance en 1947
వర్గం:1949 జననాలు	Catégorie:Naissance en 1949
వర్గం:1952 జననాలు	Catégorie:Naissance en 1952
వర్గం:1953 జననాలు	Catégorie:Naissance en 1953
వర్గం:1957 జననాలు	Catégorie:Naissance en 1957
వర్గం:1958 జననాలు	Catégorie:Naissance en 1958
వర్గం:1959 జననాలు	Catégorie:Naissance en 1959
వర్గం:1961 జననాలు	Catégorie:Naissance en 1961
వర్గం:1962 జననాలు	Catégorie:Naissance en 1962
వర్గం:1966 జననాలు	Catégorie:Naissance en 1966
వర్గం:1967 జననాలు	Catégorie:Naissance en 1967
వర్గం:1968 జననాలు	Catégorie:Naissance en 1968
వర్గం:1969 జననాలు	Catégorie:Naissance en 1969
వర్గం:1971 జననాలు	Catégorie:Naissance en 1971
వర్గం:1972 జననాలు	Catégorie:Naissance en 1972
వర్గం:1973 జననాలు	Catégorie:Naissance en 1973
వర్గం:1975 జననాలు	Catégorie:Naissance en 1975
వర్గం:1976 జననాలు	Catégorie:Naissance en 1976
వర్గం:1978 జననాలు	Catégorie:Naissance en 1978
వర్గం:1979 జననాలు	Catégorie:Naissance en 1979
వర్గం:1980 జననాలు	Catégorie:Naissance en 1980
వర్గం:1981 జననాలు	Catégorie:Naissance en 1981
వర్గం:1982 జననాలు	Catégorie:Naissance en 1982
వర్గం:1985 జననాలు	Catégorie:Naissance en 1985
వర్గం:1986 జననాలు	Catégorie:Naissance en 1986
వర్గం:1987 జననాలు	Catégorie:Naissance en 1987
వర్గం:1988 జననాలు	Catégorie:Naissance en 1988
వర్గం:1989 జననాలు	Catégorie:Naissance en 1989
వర్గం:1991 జననాలు	Catégorie:Naissance en 1991
వర్గం:1993 జననాలు	Catégorie:Naissance en 1993
వర్గం:1995 జననాలు	Catégorie:Naissance en 1995
వర్గం:661 మరణాలు	Catégorie:Décès en 661
వర్గం:క్రీ.పూ. 69 జననాలు	Catégorie:Naissance en 69 av. J.-C.
వర్గం:669	Catégorie:669
వర్గం:680	Catégorie:680
వర్గం:696 మరణాలు	Catégorie:Décès en 696
వర్గం:1689	Catégorie:1689
వర్గం:1797	Catégorie:1797
వర్గం:1787	Catégorie:1787
వర్గం:1780	Catégorie:1780
వర్గం:1647	Catégorie:1647
వర్గం:1321	Catégorie:1321
వర్గం:1590	Catégorie:1590
వర్గం:1671	Catégorie:1671
వర్గం:750	Catégorie:750
మూస:Nowrap end	Modèle:Nowrap end
వర్గం:810	Catégorie:810
వర్గం:810 మరణాలు	Catégorie:Décès en 810
మూస:Location map India Andhra Pradesh	Modèle:Géolocalisation/Andhra Pradesh
వర్గం:824	Catégorie:824
మూస:ALB	Modèle:Albanie
మూస:AND	Modèle:Andorre
వర్గం:1290లు	Catégorie:Années 1290
వర్గం:1520లు	Catégorie:Années 1520
వర్గం:1540లు	Catégorie:Années 1540
వర్గం:1560లు	Catégorie:Années 1560
వర్గం:1820లు	Catégorie:Années 1820
వర్గం:1670లు	Catégorie:Années 1670
వర్గం:1770లు	Catégorie:Années 1770
వర్గం:1760లు	Catégorie:Années 1760
వర్గం:1710లు	Catégorie:Années 1710
వర్గం:1650లు	Catégorie:Années 1650
వర్గం:1610లు	Catégorie:Années 1610
వర్గం:1630లు	Catégorie:Années 1630
వర్గం:1810లు	Catégorie:Années 1810
వర్గం:1530లు	Catégorie:Années 1530
వర్గం:1340లు	Catégorie:Années 1340
వర్గం:1490లు	Catégorie:Années 1490
వర్గం:1480లు	Catégorie:Années 1480
వర్గం:1640లు	Catégorie:Années 1640
వర్గం:1850లు	Catégorie:Années 1850
వర్గం:11 వ శతాబ్దం	Catégorie:XIe siècle
వర్గం:1200లు	Catégorie:Années 1200
వర్గం:17 వ శతాబ్దం	Catégorie:XVIIe siècle
వర్గం:1880లు	Catégorie:Années 1880
వర్గం:1720లు	Catégorie:Années 1720
వర్గం:1750లు	Catégorie:Années 1750
వర్గం:1870లు	Catégorie:Années 1870
వర్గం:1780లు	Catégorie:Années 1780
వర్గం:1860లు	Catégorie:Années 1860
వర్గం:1790లు	Catégorie:Années 1790
వర్గం:1730లు	Catégorie:Années 1730
వర్గం:1270లు	Catégorie:Années 1270
వర్గం:1240లు	Catégorie:Années 1240
వర్గం:1350లు	Catégorie:Années 1350
వర్గం:1440లు	Catégorie:Années 1440
వర్గం:1250లు	Catégorie:Années 1250
వర్గం:1800లు	Catégorie:Années 1800
వర్గం:1450లు	Catégorie:Années 1450
వర్గం:1570లు	Catégorie:Années 1570
వర్గం:1460లు	Catégorie:Années 1460
వర్గం:1470లు	Catégorie:Années 1470
వర్గం:1580లు	Catégorie:Années 1580
వర్గం:1330లు	Catégorie:Années 1330
వర్గం:1420లు	Catégorie:Années 1420
వర్గం:1700లు	Catégorie:Années 1700
వర్గం:1500లు	Catégorie:Années 1500
వర్గం:10 వ శతాబ్దం	Catégorie:Xe siècle
వర్గం:1400లు	Catégorie:Années 1400
వర్గం:1220లు	Catégorie:Années 1220
వర్గం:7 వ శతాబ్దం	Catégorie:VIIe siècle
వర్గం:1020 మరణాలు	Catégorie:Décès en 1020
వర్గం:1360లు	Catégorie:Années 1360
వర్గం:1260లు	Catégorie:Années 1260
వర్గం:1037	Catégorie:1037
వర్గం:1300లు	Catégorie:Années 1300
వర్గం:1932 తెలుగు సినిమాలు	Catégorie:Film sorti en 1932
వర్గం:1933 తెలుగు సినిమాలు	Catégorie:Film sorti en 1933
వర్గం:1934 తెలుగు సినిమాలు	Catégorie:Film sorti en 1934
వర్గం:1913 సినిమాలు	Catégorie:Film sorti en 1913
వర్గం:1080	Catégorie:1080
వర్గం:1936 తెలుగు సినిమాలు	Catégorie:Film sorti en 1936
మూస:అస్సాం	Modèle:Palette Assam
వర్గం:1114	Catégorie:1114
వర్గం:1130	Catégorie:1130
వర్గం:1131	Catégorie:1131
వర్గం:1131 మరణాలు	Catégorie:Décès en 1131
వర్గం:1137	Catégorie:1137
వర్గం:1938 తెలుగు సినిమాలు	Catégorie:Film sorti en 1938
వర్గం:1939 తెలుగు సినిమాలు	Catégorie:Film sorti en 1939
వర్గం:1185	Catégorie:1185
వర్గం:1190	Catégorie:1190
వర్గం:1240 మరణాలు	Catégorie:Décès en 1240
మూస:BDI	Modèle:Burundi
మూస:BE-BRU	Modèle:BE-BRU
మూస:BGR	Modèle:Bulgarie
మూస:BHS	Modèle:Bahamas
వర్గం:1288 మరణాలు	Catégorie:Décès en 1288
వర్గం:1291	Catégorie:1291
వర్గం:1323	Catégorie:1323
వర్గం:1324	Catégorie:1324
వర్గం:1324 మరణాలు	Catégorie:Décès en 1324
వర్గం:1347	Catégorie:1347
వర్గం:భారతదేశంలో విమానాశ్రయాలు	Catégorie:Aéroport en Inde
మూస:BSE	Modèle:BSE
వికీపీడియా:వికీప్రాజెక్టు/జీవ శాస్త్రము	Projet:Biologie
వర్గం:1911 పుస్తకాలు	Catégorie:Livre paru en 1911
వర్గం:1941 పుస్తకాలు	Catégorie:Livre paru en 1941
వర్గం:1398	Catégorie:1398
వర్గం:1913 పుస్తకాలు	Catégorie:Livre paru en 1913
వర్గం:1993 పుస్తకాలు	Catégorie:Livre paru en 1993
వర్గం:1935 పుస్తకాలు	Catégorie:Livre paru en 1935
వర్గం:1944 పుస్తకాలు	Catégorie:Livre paru en 1944
వర్గం:1998 పుస్తకాలు	Catégorie:Livre paru en 1998
వర్గం:1931 పుస్తకాలు	Catégorie:Livre paru en 1931
వర్గం:1984 పుస్తకాలు	Catégorie:Livre paru en 1984
వర్గం:1958 పుస్తకాలు	Catégorie:Livre paru en 1958
వర్గం:1977 పుస్తకాలు	Catégorie:Livre paru en 1977
వర్గం:1975 పుస్తకాలు	Catégorie:Livre paru en 1975
వర్గం:1967 పుస్తకాలు	Catégorie:Livre paru en 1967
పాలిటానా	Palitana
వర్గం:1918 పుస్తకాలు	Catégorie:Livre paru en 1918
వర్గం:1932 పుస్తకాలు	Catégorie:Livre paru en 1932
వర్గం:1995 పుస్తకాలు	Catégorie:Livre paru en 1995
వర్గం:1929 పుస్తకాలు	Catégorie:Livre paru en 1929
వర్గం:1978 పుస్తకాలు	Catégorie:Livre paru en 1978
వర్గం:భారతదేశ ఆర్థిక వ్యవస్థ	Catégorie:Économie de l'Inde
మూస:తీరిక లేదు	Modèle:Wikibreak débordé
వర్గం:1959 పుస్తకాలు	Catégorie:Livre paru en 1959
వర్గం:1469	Catégorie:1469
వర్గం:నెమటోడ	Catégorie:Nématode
వర్గం:1956 తెలుగు సినిమాలు	Catégorie:Film sorti en 1956
మూస:CAS	Modèle:CAS
వర్గం:సాహిత్యంలో నోబెల్ బహుమతి గ్రహీతలు	Catégorie:Lauréat du prix Nobel de littérature
వర్గం:1502	Catégorie:1502
వర్గం:1484	Catégorie:1484
మైత్రిపాల సిరిసేన	Maithripala Sirisena
మూస:CIV	Modèle:Côte d'Ivoire
మూస:CRI	Modèle:Costa Rica
వర్గం:2001 తెలుగు సినిమాలు	Catégorie:Film sorti en 2001
మూస:CYP	Modèle:Chypre
వర్గం:భారతదేశ భూగోళశాస్త్రము	Catégorie:Géographie de l'Inde
వర్గం:1993 తెలుగు సినిమాలు	Catégorie:Film sorti en 1993
వర్గం:1518	Catégorie:1518
వర్గం:1518 మరణాలు	Catégorie:Décès en 1518
వర్గం:1531 మరణాలు	Catégorie:Décès en 1531
వర్గం:1540	Catégorie:1540
వర్గం:1540 మరణాలు	Catégorie:Décès en 1540
వర్గం:1543 మరణాలు	Catégorie:Décès en 1543
వర్గం:1546	Catégorie:1546
వర్గం:జీవ రసాయన శాస్త్రం	Catégorie:Biochimie
వర్గం:1566	Catégorie:1566
వర్గం:1569	Catégorie:1569
వర్గం:భారతీయ ఖగోళ శాస్త్రవేత్తలు	Catégorie:Astronome indien
వర్గం:1580	Catégorie:1580
వర్గం:1580 మరణాలు	Catégorie:Décès en 1580
వర్గం:1605	Catégorie:1605
వర్గం:1605 మరణాలు	Catégorie:Décès en 1605
వర్గం:కంప్యూటర్ ప్రోగ్రామ్	Catégorie:Programmation informatique
వర్గం:1624	Catégorie:1624
వర్గం:1626	Catégorie:1626
వర్గం:1626 మరణాలు	Catégorie:Décès en 1626
వర్గం:1951 తెలుగు సినిమాలు	Catégorie:Film sorti en 1951
వర్గం:1640 మరణాలు	Catégorie:Décès en 1640
వర్గం:1642	Catégorie:1642
వర్గం:1642 మరణాలు	Catégorie:Décès en 1642
వర్గం:1652	Catégorie:1652
వర్గం:1657	Catégorie:1657
వర్గం:1666 మరణాలు	Catégorie:Décès en 1666
వర్గం:1671 మరణాలు	Catégorie:Décès en 1671
వర్గం:1686	Catégorie:1686
వర్గం:1689 మరణాలు	Catégorie:Décès en 1689
వర్గం:1693	Catégorie:1693
వర్గం:1693 మరణాలు	Catégorie:Décès en 1693
వర్గం:1706	Catégorie:1706
వర్గం:1708 మరణాలు	Catégorie:Décès en 1708
వర్గం:1722	Catégorie:1722
వర్గం:1727 మరణాలు	Catégorie:Décès en 1727
వర్గం:1743 మరణాలు	Catégorie:Décès en 1743
వర్గం:1744 మరణాలు	Catégorie:Décès en 1744
వర్గం:1751	Catégorie:1751
వర్గం:1766	Catégorie:1766
వర్గం:1767	Catégorie:1767
వర్గం:1775	Catégorie:1775
వర్గం:1776 మరణాలు	Catégorie:Décès en 1776
వర్గం:1779	Catégorie:1779
వర్గం:1782 మరణాలు	Catégorie:Décès en 1782
వర్గం:1790 మరణాలు	Catégorie:Décès en 1790
వర్గం:విటమిన్లు	Catégorie:Vitamine
వర్గం:1970 తెలుగు సినిమాలు	Catégorie:Film sorti en 1970
మూస:Lang-hi	Modèle:Lang-hi
వర్గం:1778	Catégorie:1778
వర్గం:వాస్తవ ఆస్తి	Catégorie:Immobilier
మూస:Chembox header	Modèle:Chembox header
మూస:EST	Modèle:Estonie
వర్గం:మిన్నసోటా	Catégorie:Minnesota
మూస:QAT	Modèle:Qatar
మూస:RUS	Modèle:Russie
మూస:ఒలింపిక్ క్రీడలు	Modèle:Palette Jeux olympiques
మూస:TGO	Modèle:Togo
మూస:Sport honours	Modèle:Sport honours
మూస:CHL	Modèle:Chili
మూస:Who	Modèle:Qui
వర్గం:యూత్ ఒలింపిక్ గేమ్స్	Catégorie:Jeux olympiques de la jeunesse
వర్గం:599	Catégorie:599
మూస:GRD	Modèle:Grenade
వర్గం:644	Catégorie:644
వర్గం:656	Catégorie:656
వర్గం:661	Catégorie:661
వర్గం:762	Catégorie:762
దేశాల జాబితా – దీవుల దేశాలు	Liste des États insulaires
మూస:Round8	Modèle:Phase finale à 8
మూస:SYR	Modèle:Syrie
మూస:CHN	Modèle:Chine
వర్గం:1928 మరణాలు	Catégorie:Décès en 1928
వర్గం:1937 మరణాలు	Catégorie:Décès en 1937
వర్గం:1950 మరణాలు	Catégorie:Décès en 1950
వర్గం:కెన్యా	Catégorie:Kenya
వర్గం:1486	Catégorie:1486
వర్గం:1602	Catégorie:1602
వర్గం:1647 మరణాలు	Catégorie:Décès en 1647
వర్గం:1666	Catégorie:1666
వర్గం:1672 మరణాలు	Catégorie:Décès en 1672
మూస:ENG	Modèle:Angleterre
వర్గం:2011 మరణాలు	Catégorie:Décès en 2011
మూస:ఈ బొమ్మను తొలగించాలి	Modèle:Suppression image
మూస:HTI	Modèle:Haïti
మూస:TCA	Modèle:Îles Turques-et-Caïques
మూస:విలీనము	Modèle:À fusionner
మూస:Cite album-notes	Modèle:Livret album
వర్గం:1503 మరణాలు	Catégorie:Décès en 1503
వర్గం:1546 మరణాలు	Catégorie:Décès en 1546
వర్గం:1728	Catégorie:1728
వర్గం:1733	Catégorie:1733
వర్గం:1743	Catégorie:1743
వర్గం:1747	Catégorie:1747
వర్గం:1749	Catégorie:1749
వర్గం:1750	Catégorie:1750
వర్గం:1754	Catégorie:1754
వర్గం:1755	Catégorie:1755
వర్గం:1757	Catégorie:1757
వర్గం:1761	Catégorie:1761
వర్గం:1762	Catégorie:1762
వర్గం:1763	Catégorie:1763
వర్గం:1763 మరణాలు	Catégorie:Décès en 1763
వర్గం:1765 మరణాలు	Catégorie:Décès en 1765
వర్గం:1768	Catégorie:1768
వర్గం:1770	Catégorie:1770
వర్గం:1772	Catégorie:1772
వర్గం:1773	Catégorie:1773
వర్గం:1774	Catégorie:1774
వర్గం:1774 మరణాలు	Catégorie:Décès en 1774
వర్గం:1776	Catégorie:1776
వర్గం:ఆండ్రాయిడ్ మొబైల్ ఫోన్లు	Catégorie:Appareil sous Android
వర్గం:1777	Catégorie:1777
వర్గం:1779 మరణాలు	Catégorie:Décès en 1779
వర్గం:1782	Catégorie:1782
వర్గం:1788	Catégorie:1788
వర్గం:1790	Catégorie:1790
వర్గం:1791	Catégorie:1791
వర్గం:1792	Catégorie:1792
వర్గం:1794	Catégorie:1794
వర్గం:1798	Catégorie:1798
వర్గం:1799	Catégorie:1799
వర్గం:1800	Catégorie:1800
వర్గం:1801	Catégorie:1801
వర్గం:1802	Catégorie:1802
వర్గం:1803	Catégorie:1803
వర్గం:1804	Catégorie:1804
వర్గం:1804 మరణాలు	Catégorie:Décès en 1804
వర్గం:1805	Catégorie:1805
వర్గం:1806	Catégorie:1806
వర్గం:1807	Catégorie:1807
వర్గం:1809	Catégorie:1809
వర్గం:1810	Catégorie:1810
వర్గం:1811	Catégorie:1811
వర్గం:1813	Catégorie:1813
వర్గం:1814	Catégorie:1814
వర్గం:1815	Catégorie:1815
వర్గం:1816	Catégorie:1816
వర్గం:1817 మరణాలు	Catégorie:Décès en 1817
వర్గం:1818	Catégorie:1818
వర్గం:1819	Catégorie:1819
వర్గం:1819 మరణాలు	Catégorie:Décès en 1819
వర్గం:1820	Catégorie:1820
వర్గం:1821 మరణాలు	Catégorie:Décès en 1821
వర్గం:1823	Catégorie:1823
వర్గం:1827	Catégorie:1827
వర్గం:1830	Catégorie:1830
వర్గం:1831 మరణాలు	Catégorie:Décès en 1831
వర్గం:1832 మరణాలు	Catégorie:Décès en 1832
వర్గం:1833 మరణాలు	Catégorie:Décès en 1833
వర్గం:1834	Catégorie:1834
వర్గం:1834 మరణాలు	Catégorie:Décès en 1834
వర్గం:1835	Catégorie:1835
వర్గం:1836	Catégorie:1836
వర్గం:1836 మరణాలు	Catégorie:Décès en 1836
వర్గం:1837 మరణాలు	Catégorie:Décès en 1837
వర్గం:1838	Catégorie:1838
వర్గం:1839	Catégorie:1839
వర్గం:1840	Catégorie:1840
వర్గం:1842	Catégorie:1842
వర్గం:1843	Catégorie:1843
వర్గం:1846	Catégorie:1846
వర్గం:1846 మరణాలు	Catégorie:Décès en 1846
వర్గం:1847	Catégorie:1847
వర్గం:1847 మరణాలు	Catégorie:Décès en 1847
వర్గం:1848	Catégorie:1848
వర్గం:1849	Catégorie:1849
వర్గం:1850 మరణాలు	Catégorie:Décès en 1850
వర్గం:1851	Catégorie:1851
వర్గం:1851 మరణాలు	Catégorie:Décès en 1851
వర్గం:1852	Catégorie:1852
వర్గం:1853	Catégorie:1853
వర్గం:1854	Catégorie:1854
వర్గం:1856	Catégorie:1856
వర్గం:1856 మరణాలు	Catégorie:Décès en 1856
వర్గం:1857	Catégorie:1857
వర్గం:1857 మరణాలు	Catégorie:Décès en 1857
వర్గం:1858	Catégorie:1858
వర్గం:1858 మరణాలు	Catégorie:Décès en 1858
వర్గం:1859	Catégorie:1859
వర్గం:1860	Catégorie:1860
వర్గం:1861	Catégorie:1861
వర్గం:1861 మరణాలు	Catégorie:Décès en 1861
వర్గం:1862	Catégorie:1862
వర్గం:1863	Catégorie:1863
వర్గం:1864	Catégorie:1864
వర్గం:1865	Catégorie:1865
వర్గం:1866	Catégorie:1866
వర్గం:1866 మరణాలు	Catégorie:Décès en 1866
వర్గం:1868	Catégorie:1868
వర్గం:1869	Catégorie:1869
వర్గం:1869 మరణాలు	Catégorie:Décès en 1869
వర్గం:1870	Catégorie:1870
వర్గం:1871	Catégorie:1871
వర్గం:1872	Catégorie:1872
వర్గం:1872 మరణాలు	Catégorie:Décès en 1872
వర్గం:1874	Catégorie:1874
వర్గం:1875	Catégorie:1875
వర్గం:1876	Catégorie:1876
వర్గం:1877	Catégorie:1877
వర్గం:1878 మరణాలు	Catégorie:Décès en 1878
వర్గం:1879	Catégorie:1879
వర్గం:1880	Catégorie:1880
వర్గం:1881	Catégorie:1881
వర్గం:1882	Catégorie:1882
వర్గం:1883	Catégorie:1883
వర్గం:1884	Catégorie:1884
వర్గం:1885	Catégorie:1885
వర్గం:1886	Catégorie:1886
వర్గం:1886 మరణాలు	Catégorie:Décès en 1886
వర్గం:1887	Catégorie:1887
వర్గం:1889	Catégorie:1889
వర్గం:1890	Catégorie:1890
వర్గం:1891	Catégorie:1891
వర్గం:1891 మరణాలు	Catégorie:Décès en 1891
వర్గం:1892	Catégorie:1892
వర్గం:1892 మరణాలు	Catégorie:Décès en 1892
వర్గం:1893	Catégorie:1893
వర్గం:1894	Catégorie:1894
వర్గం:1894 మరణాలు	Catégorie:Décès en 1894
వర్గం:1895	Catégorie:1895
వర్గం:1895 మరణాలు	Catégorie:Décès en 1895
వర్గం:1896 మరణాలు	Catégorie:Décès en 1896
వర్గం:1897	Catégorie:1897
వర్గం:1899	Catégorie:1899
వర్గం:1899 మరణాలు	Catégorie:Décès en 1899
వర్గం:1900 మరణాలు	Catégorie:Décès en 1900
వర్గం:1901 మరణాలు	Catégorie:Décès en 1901
వర్గం:1905 మరణాలు	Catégorie:Décès en 1905
వర్గం:1906 మరణాలు	Catégorie:Décès en 1906
వర్గం:1908 మరణాలు	Catégorie:Décès en 1908
వర్గం:1909 మరణాలు	Catégorie:Décès en 1909
వర్గం:1910 మరణాలు	Catégorie:Décès en 1910
వర్గం:1912 మరణాలు	Catégorie:Décès en 1912
వర్గం:1913 మరణాలు	Catégorie:Décès en 1913
వర్గం:1914 మరణాలు	Catégorie:Décès en 1914
వర్గం:1915 మరణాలు	Catégorie:Décès en 1915
వర్గం:1916 మరణాలు	Catégorie:Décès en 1916
వర్గం:1917 మరణాలు	Catégorie:Décès en 1917
వర్గం:1918 మరణాలు	Catégorie:Décès en 1918
వర్గం:1919 మరణాలు	Catégorie:Décès en 1919
వర్గం:1920 మరణాలు	Catégorie:Décès en 1920
వర్గం:1921 మరణాలు	Catégorie:Décès en 1921
వర్గం:1923 మరణాలు	Catégorie:Décès en 1923
వర్గం:1925 మరణాలు	Catégorie:Décès en 1925
వర్గం:1926 మరణాలు	Catégorie:Décès en 1926
వర్గం:1927 మరణాలు	Catégorie:Décès en 1927
వర్గం:1932 మరణాలు	Catégorie:Décès en 1932
వర్గం:1935 మరణాలు	Catégorie:Décès en 1935
వర్గం:1936 మరణాలు	Catégorie:Décès en 1936
వర్గం:1939 మరణాలు	Catégorie:Décès en 1939
వర్గం:1940 మరణాలు	Catégorie:Décès en 1940
వర్గం:1941 మరణాలు	Catégorie:Décès en 1941
వర్గం:1944 మరణాలు	Catégorie:Décès en 1944
వర్గం:1948 మరణాలు	Catégorie:Décès en 1948
వర్గం:1951 మరణాలు	Catégorie:Décès en 1951
వర్గం:1952 మరణాలు	Catégorie:Décès en 1952
వర్గం:1953 మరణాలు	Catégorie:Décès en 1953
వర్గం:1954 మరణాలు	Catégorie:Décès en 1954
వర్గం:1955 మరణాలు	Catégorie:Décès en 1955
వర్గం:1956 మరణాలు	Catégorie:Décès en 1956
వర్గం:1957 మరణాలు	Catégorie:Décès en 1957
వర్గం:1958 మరణాలు	Catégorie:Décès en 1958
వర్గం:1961	Catégorie:1961
వర్గం:1964	Catégorie:1964
వర్గం:1964 మరణాలు	Catégorie:Décès en 1964
వర్గం:1965	Catégorie:1965
వర్గం:1965 మరణాలు	Catégorie:Décès en 1965
వర్గం:1966	Catégorie:1966
వర్గం:1967	Catégorie:1967
వర్గం:1967 మరణాలు	Catégorie:Décès en 1967
వర్గం:1968 మరణాలు	Catégorie:Décès en 1968
వర్గం:1969	Catégorie:1969
వర్గం:1970	Catégorie:1970
వర్గం:1970 మరణాలు	Catégorie:Décès en 1970
వర్గం:1971 మరణాలు	Catégorie:Décès en 1971
వర్గం:1972	Catégorie:1972
వర్గం:1972 మరణాలు	Catégorie:Décès en 1972
వర్గం:1973	Catégorie:1973
వర్గం:1973 మరణాలు	Catégorie:Décès en 1973
వర్గం:1974	Catégorie:1974
వర్గం:1975	Catégorie:1975
వర్గం:1976	Catégorie:1976
వర్గం:1977 మరణాలు	Catégorie:Décès en 1977
వర్గం:1978	Catégorie:1978
వర్గం:1979	Catégorie:1979
వర్గం:1980	Catégorie:1980
వర్గం:1981	Catégorie:1981
వర్గం:1982	Catégorie:1982
వర్గం:1982 మరణాలు	Catégorie:Décès en 1982
వర్గం:1983	Catégorie:1983
వర్గం:1983 మరణాలు	Catégorie:Décès en 1983
వర్గం:1984	Catégorie:1984
వర్గం:1984 మరణాలు	Catégorie:Décès en 1984
వర్గం:1985	Catégorie:1985
వర్గం:1985 మరణాలు	Catégorie:Décès en 1985
వర్గం:1986	Catégorie:1986
వర్గం:1987	Catégorie:1987
వర్గం:1987 మరణాలు	Catégorie:Décès en 1987
వర్గం:1988	Catégorie:1988
వర్గం:1989	Catégorie:1989
వర్గం:1989 మరణాలు	Catégorie:Décès en 1989
వర్గం:1990	Catégorie:1990
వర్గం:1990 మరణాలు	Catégorie:Décès en 1990
వర్గం:1991	Catégorie:1991
వర్గం:1992	Catégorie:1992
వర్గం:1993	Catégorie:1993
వర్గం:1994	Catégorie:1994
వర్గం:1995	Catégorie:1995
వర్గం:1995 మరణాలు	Catégorie:Décès en 1995
వర్గం:1996	Catégorie:1996
