Африк	Afrique
Цэнхэр оцон шувуу	Manchot pygmée
Симоне Пепе	Simone Pepe
Фернандо Муслера	Fernando Muslera
Тим Рот	Tim Roth
Шкельзен Гаши	Shkëlzen Gashi
Адам Малыш	Adam Małysz
Цао Цао	Cao Cao
Бухарестын Динамо	FC Dinamo Bucarest
Су-30	Soukhoï Su-30
Родион Малиновский	Rodion Malinovski
Хар баасан гараг	Vendredi treize
Рамирес	Ramires
Sorcerous Stabber Orphen	Majutsushi Orphen
Хитоцүбаши Их Сургууль	Université Hitotsubashi
Матьё Фламини	Mathieu Flamini
Оросын Ажилчны Социал Демократ Нам	Parti ouvrier social-démocrate de Russie
ТУ-22М/ТУ-26	Tupolev Tu-22M
Фабиан Лустенбергер	Fabian Lustenberger
Николас Бурдиссо	Nicolás Burdisso
Деррик Рөүз	Derrick Rose
Нийгмийн ажил	Travail social
Панчево	Pančevo
Цагаанхөмсөг хөмрөг	Bruant fou
Брэдли Купер	Bradley Cooper
Седиментологи	Sédimentologie
Андреас Исакссон	Andreas Isaksson
Павел Погребняк	Pavel Pogrebniak
Битүү амьсгаа	Respiration circulaire
Каррахын тулалдаан	Bataille de Carrhes
Цэвдгийн ахууна	Lagopède alpin
Риманы таамаглал	Hypothèse de Riemann
Клуж (хөлбөмбөгийн баг)	Fotbal Club CFR 1907 Cluj
Украйны Премьер лиг	Championnat d'Ukraine de football
Ведран Чорлука	Vedran Ćorluka
Кралево	Kraljevo
Бруней доллар	Dollar de Brunei
Дийлдэшгүй (2010 оны кино)	Expendables : Unité spéciale
Шартүрүүт цэгцгий	Bergeronnette citrine
Монгол улс Олимпод	Mongolie aux Jeux olympiques
Роман Широков	Roman Chirokov
Барилгын материал	Matériau de construction
Чирэлт (физик)	Traînée
Алаг хөмрөг	Bruant ortolan
Фил Жонс	Phil Jones
Мартин Петров	Martin Petrov
Улаан цэгцүүхэй	Linotte à bec jaune
Өмнөд Альпийн нуруу	Alpes du Sud (Nouvelle-Zélande)
Шар нүдэт оцон шувуу	Manchot antipode
Брэндан Глисон	Brendan Gleeson
Галапагос оцон шувуу	Manchot des Galápagos
Уэйн Бриж	Wayne Bridge
Дөрөвдүгээр Интернационал	Quatrième Internationale
Нелсон, Шинэ Зеланд	Nelson (Nouvelle-Zélande)
Онон гол	Onon
Дөлөн цэгцүүхэй	Sizerin flammé
Икс-Чат	XChat
Матью Кереку	Mathieu Kérékou
Вячеслав Малафеев	Viatcheslav Malafeïev
Орос Википедиа	Wikipédia en russe
Мэдрэл судлал	Neurosciences
Буриад ястан	Bouriates
Тирич Мир	Tirich Mir
Златко Юнузович	Zlatko Junuzović
Пресс-релиз	Communiqué de presse
Беллона	Bellone
Магелланы оцон шувуу	Manchot de Magellan
Аврага анаконда	Eunectes murinus
Дидье Зокора	Didier Zokora
Лэдли Кинг	Ledley King
Луи ван Гаал	Louis van Gaal
Хүн-компьютерийн харилцан үйлдэл	Interactions homme-machine
Лэнд лиз - АНУ-ын тусламжийн хөтөлбөр	Lend-Lease
Вайгач арал	Île Vaïgatch
Олеины хүчил	Acide oléique
Ан-2	Antonov An-2
Руслан Пономарёв	Ruslan Ponomariov
Өвс	Gazon
Ховард Шор	Howard Shore
Уссури	Oussouri
Дорнод	Dornod
Артур Боруц	Artur Boruc
Архангай	Arhangay
Австралын хотууд	Liste des villes d'Australie par nombre d'habitants
Америк матар	Crocodile américain
Мэри Элизабет Уинстэд	Mary Elizabeth Winstead
Монгол төрхтөн	Asiatique (humain)
Транквилло Барнетта	Tranquillo Barnetta
Их тооны хууль	Loi des grands nombres
A Rush of Blood to the Head	A Rush of Blood to the Head
Токен цагираг	Token Ring
Code Geass	Code Geass
Америк фламинго	Flamant des Caraïbes
Жервиньо	Gervinho
Том Харди	Tom Hardy
Чачак	Čačak
Леонардо Бонуччи	Leonardo Bonucci
Network layer	Couche réseau
Хави Алонсо	Xabi Alonso
Чаддаг юм бол намайг бариарай	Arrête-moi si tu peux
Монголчуудын Япон руу хийсэн довтолгоо	Invasions mongoles du Japon
Василь Иванчук	Vassili Ivantchouk
Японы эзэн хаан	Empereur du Japon
Ногоон бүс (кино)	La Ligne verte (film)
Тагийн хайруулдай	Accenteur alpin
Эм бэлэг эрхтэний зэрэмдэглэлт	Mutilations génitales féminines
Мегиддо	Megiddo
Хөлбөмбөгийн ДАШТ-2010 Хасагдах шатны тоглолт	Phase à élimination directe de la Coupe du monde de football 2010
Себха	Sebha (ville)
Атомик Киттн	Atomic Kitten
Ференцварош (хөлбөмбөгийн баг)	Ferencváros TC
Бастиа (хөлбөмбөгийн баг)	Sporting Club de Bastia
Хөлбөмбөгийн ДАШТ-2010 Аваргын төлөөх тоглолт	Finale de la Coupe du monde de football de 2010
МТК Будапешт	MTK Budapest FC
1984 (роман)	1984 (roman)
Кайфэн	Kaifeng
Огторгуйн өнцөг	Angle solide
Халбаган хошуут	Spatule (oiseau)
Штефан Лихтштайнер	Stephan Lichtsteiner
Нойрмог хөндий (кино)	Sleepy Hollow (film)
Жози Алтидор	Jozy Altidore
Рэй Аллен	Ray Allen
Хэрмэл салхич шувуу	Albatros hurleur
Нилмар	Nilmar Honorato da Silva
Карлос Сальсидо	Carlos Salcido
Хавьер Сотомайор	Javier Sotomayor
Эйден Макгиди	Aiden McGeady
Ажилчны хөдөлгөөн	Mouvement ouvrier
Лапланд буулгатхөмрөг	Plectrophane lapon
Стипе Плетикоса	Stipe Pletikosa
Усны шийхнүүхэй	Pipit spioncelle
Эгэл шатансүүлт	Locustelle tachetée
Гвианы тэгш өндөрлөг	Plateau des Guyanes
Фил Ягелка	Phil Jagielka
Николай Рерих	Nicolas Roerich
Карелийн хүзүүвч	Isthme de Carélie
2012 оны Зуны Олимпийн наадмын Байт харвааны төрөл	Tir à l'arc aux Jeux olympiques d'été de 2012
Дарья Домрачева	Darya Domracheva
Шашны философи	Philosophie de la religion
Transport layer	Couche transport
Анкарагийн тулалдаан	Bataille d'Ankara
VHDL	VHDL
Сансрын телевиз	Télévision par satellite
Карим Массимов	Karim Massimov
Булган	Bulgan (province)
Сагамихара	Sagamihara
Сиад Барре	Mahamed Siyaad Barre
Дайны жагсаалт	Liste de guerres
Пик ойл	Pic pétrolier
Жулиус Ирвинг	Julius Erving
Садио Мане	Sadio Mané
Майка Ричардс	Micah Richards
Испанийн сагсан бөмбөгийн үндэсний шигшээ баг	Équipe d'Espagne de basket-ball
Бурмейстерын далайн гахай	Marsouin de Burmeister
Сунгари	Songhua
Юан Ши Кай	Yuan Shikai
Куликовын тулалдаан	Bataille de Koulikovo
И Су-ёнь	Yi So-yeon
Нисэх загвар	Modélisme aérien
Тиаго Силва	Thiago Emiliano da Silva
Мари Пьерс	Mary Pierce
Санчирийн туйлын шуурга	Hexagone de Saturne
MOSFET	Transistor à effet de champ à grille métal-oxyde
Уфа гол	Oufa (rivière)
Хуанфран Торрес	Juan Francisco Torres
Альваро Негредо	Álvaro Negredo
Эдсон Брафхейд	Edson Braafheid
Леко Петер	Péter Lékó
Пак Чу Ён	Park Chu-young
Тьяго Мендиш	Tiago
Андерсон Луис да Силва	Ânderson Luís da Silva
Аргын тоолол	Calendrier solaire
Антонины хана	Mur d'Antonin
Константинос Кацуранис	Kóstas Katsouránis
Иньчуань	Yinchuan
Курт Зума	Kurt Zouma
2010 оны сагсан бөмбөгийн дэлхийн аварга шалгаруулах тэмцээн	Championnat du monde de basket-ball masculin 2010
Ил-2	Iliouchine Il-2
Александар Коларов	Aleksandar Kolarov
Алэппогийн нарс	Pinus halepensis
Брэндон Ли	Brandon Lee
2012 оны олимпийн жүдогийн тэмцээн	Judo aux Jeux olympiques d'été de 2012
Динамо Минск	FK Dynamo Minsk
Родерик Маккиннон	Roderick MacKinnon
I Антиох Сотер	Antiochos Ier
Дээд түвшний програмчлалын хэл	Langage de haut niveau
Ибрагим Алдатов	Ibrahim Aldatov
Москва-Сити	Moskva-City
Чарли Остин	Charlie Austin
Теймур Ражабов	Teimour Radjabov
The Kooks	The Kooks
Марк-Оливер Кемпф	Marc-Olivier Kempf
Дундговь	Dundgovi
Дэвид Робинсон	David Robinson (basket-ball, 1965)
Брондбю (хөлбөмбөгийн баг)	Brøndby IF
Жозе Босингва	José Bosingwa
Мира Сорвино	Mira Sorvino
Сабины цахлай	Mouette de Sabine
Бүгд Найрамдах Монгол Ард Улс	République populaire mongole
Леви Мванаваса	Levy Mwanawasa
Ченнинг Тейтум	Channing Tatum
Сильвио Прото	Silvio Proto
Рики Рубио	Ricky Rubio
Рон Влар	Ron Vlaar
Би бол домог (кино)	Je suis une légende (film, 2007)
Баратт Жагдео	Bharrat Jagdeo
Алкей	Alcée de Mytilène
Андре Виллаш-Боаш	André Villas-Boas
Партизан	Partisan (guérilla)
Планкийн хууль	Loi de Planck
Ким Ки Док	Kim Ki-duk
Бенедикт Андерсон	Benedict Anderson
Самир Ханданович	Samir Handanovič
Иньяцио Абате	Ignazio Abate
Алексей Березуцкий	Alexeï Bérézoutski
Термодинамик процессууд	Processus thermodynamique
Генту оцон шувуу	Manchot papou
Роберт Корен	Robert Koren
Соно бялзуухай	Colibri d'Elena
Мортен Гамст Педерсен	Morten Gamst Pedersen
И Жон-сү	Lee Jung-soo
Кристиан Мажо	Christian Maggio
Вальтер Бирса	Valter Birsa
Жан Макун	Jean II Makoun
Рута Мэйлутите	Rūta Meilutytė
Жон Пэйнтсил	John Paintsil
Эмануэль Жинобили	Manu Ginóbili
Стехиометр	Stœchiométrie
Дорноговь	Dornogovi
Иерусалимын хуучин хот	Vieille ville de Jérusalem
ТУ-22	Tupolev Tu-22
Жон Стоктон	John Stockton
Фабио да Силва	Fábio Pereira da Silva
Орхигдсон хүн	Seul au monde
Нью-Йорк Янкиз	Yankees de New York
Аарон Рэмзи	Aaron Ramsey
Ларри Кинг	Larry King
Даррен Бент	Darren Bent
Бойзөүн	Boyzone
Ральф Банч	Ralph Bunche
Чевийн теорем	Théorème de Ceva
Томас Каленберг	Thomas Kahlenberg
Гордон Бэнкс	Gordon Banks
Геохронологи	Géochronologie
Жорж Формэн	George Foreman
Бостон Ред Сокс	Red Sox de Boston
Сергей Игнашевич	Sergueï Ignachevitch
Скотт Паркер	Scott Parker (football)
Элдер Поштига	Hélder Postiga
Дэлхийн агаарын спортын холбоо	Fédération aéronautique internationale
Эден Азар	Eden Hazard
Хөвчийн дуудууш	Mésangeai imitateur
Ханасан ус	Saumure
Филиппин-Америкийн дайн	Guerre américano-philippine
Бамиан хот	Bâmiyân
Марк Хьюз	Mark Hughes
I Исмаил	Ismail Ier
Нарсны шүршүү	Durbec des sapins
Элфийн Дуулал	Elfen Lied
Бенгалын үнэг	Renard du Bengale
Эндо Ясүхито	Yasuhito Endō
Америкийн Үндэсний Галерей	National Gallery of Art
Диего Годин	Diego Godín
Максвелл Кабелино Андраде	Maxwell (football)
Жон Мэйер	John Mayer (guitariste)
Stargate Atlantis	Stargate Atlantis
Өмнөдийн далайн заан	Éléphant de mer du sud
Антолин Алькарас	Antolín Alcaraz
Серхио Ромеро	Sergio Romero
Гильермо Очоа	Guillermo Ochoa
Алиа салбадай	Bouffon
Эрен Дердийок	Eren Derdiyok
Нойрсож буй гүнж (хүүхэлдэйн кино)	La Belle au bois dormant (film, 1959)
Ким-Гү	Kim Koo
Иохан Журу	Johan Djourou
Мари Франсуа Сади Карно	Sadi Carnot (homme politique)
Эдвард Смит	Edward Smith
Вацлав Пиларж	Václav Pilař
Шей Гивен	Shay Given
MS SQL сервер	Microsoft SQL Server
Пол Робинсон	Paul Robinson
Фабрисио Колоччини	Fabricio Coloccini
Малайн бар	Tigre de Malaisie
Жолеон Лескотт	Joleon Lescott
Тана	Nacre
Патрисиа Аркетт	Patricia Arquette
Төв Америкийн тапир	Tapir de Baird
Кантхо	Cần Thơ
Алекс Родриго Диас да Коста	Alex Rodrigo Dias da Costa
Вьет үндэстэн	Viêt
Баруун фронт (Дэлхийн хоёрдугаар дайн)	Front de l'Ouest (Seconde Guerre mondiale)
Стив Кэрелл	Steve Carell
Марит Бьёрген	Marit Bjørgen
Лапу Лапу	Lapu-Lapu
Usability	Utilisabilité
Рой Шайдер	Roy Scheider
Зайсан нуур	Lac Zaïssan
Гигроскоп	Hygroscopique
Франсиско Мадеро	Francisco I. Madero
Мичел Сальгадо	Míchel Salgado
Агаарын масс	Masse d'air
Борлог хөмрөг	Bruant nain
Ногоон хошуу	Presqu'île du Cap-Vert
Фабио Аурелио	Fábio Aurélio
Блида	Blida
Ли Чон Ён	Lee Chung-yong
Жорж Эверест	George Everest
Хайчин гарт Эдвард	Edward aux mains d'argent
