আফ্রিকা	Afrique
উইলিয়াম হার্শেল	William Herschel
জিওভান্নি ডোমেনিকো ক্যাসিনি	Giovanni Domenico Cassini
মারগেরিতা হ্যাক	Margherita Hack
দোরু নদী	Douro
সান্টা ক্রুজ দে তেনেরিফে	Santa Cruz de Tenerife
মৎস্য শিকার	Pêche (halieutique)
অর্ডার অব দ্য ব্রিটিশ এম্পায়ার	Ordre de l'Empire britannique
স্কট্‌স ভাষা	Scots
ক্যাক্‌টাস	Cactaceae
লিনাক্স কার্নেল	Noyau Linux
আলোকবিজ্ঞান	Optique
সান মাইক্রোসিস্টেম্‌স	Sun Microsystems
ইউনিক্স-সদৃশ	Type Unix
পতাকা	Drapeau
ইউনিক্স শেল	Shell Unix
পাতি চড়ুই	Moineau domestique
টেবিল	Table
বাইডু	Baidu
মাকাও	Macao
টেমপ্লেট:Location map Morocco	Modèle:Géolocalisation/Maroc
টেমপ্লেট:Location map Algeria	Modèle:Géolocalisation/Algérie
টেমপ্লেট:Location map দক্ষিণ সুদান	Modèle:Géolocalisation/Soudan du Sud
এথ্‌নোলগ	Ethnologue, Languages of the World
টেমপ্লেট:Location map Somalia	Modèle:Géolocalisation/Somalie
এসআইএল ইন্টারন‌্যাশনাল	SIL International
টেমপ্লেট:Location map Senegal	Modèle:Géolocalisation/Sénégal
লেনোভো	Lenovo
টেমপ্লেট:Location map ঘানা	Modèle:Géolocalisation/Ghana
টেমপ্লেট:Location map জিম্বাবুয়ে	Modèle:Géolocalisation/Zimbabwe
টেমপ্লেট:Location map South Africa	Modèle:Géolocalisation/Afrique du Sud
টেমপ্লেট:Location map Asia	Modèle:Géolocalisation/Asie
টেমপ্লেট:Location map অ্যান্টার্কটিকা	Modèle:Géolocalisation/Antarctique
সফেদা	Sapotillier
মিথানল	Méthanol
এস্কেলেটর	Escalier mécanique
চেয়ার	Chaise
আন্তর্জাতিক মান সংস্থা	Organisation internationale de normalisation
হু জিনতাও	Hu Jintao
শি জিনপিং	Xi Jinping
জিরাফ	Girafe
প্রোভঁস-আল্প-কোত দাজ্যুর	Provence-Alpes-Côte d'Azur
জুরিখ বিমানবন্দর	Aéroport international de Zurich
চেন্নাই জেলা	District de Chennai
ভাইসহর্ন	Weisshorn
কাঞ্চীপুরম জেলা	District de Kanchipuram
শেনচেন	Shenzhen
গোঁফ	Moustache
সোভিয়েত ইউনিয়ন	Union des républiques socialistes soviétiques
দ্য লর্ড অফ দ্য রিংস	Le Seigneur des anneaux
অ্যাডেনিন	Adénine
পুরসভা	Commune
গলনাঙ্ক	Point de fusion
স্টিল ক্যামেরা	Appareil photographique
প্লাটিপাস	Ornithorynque
চংলং জেলা	District de Changlang
নিম্ন সুবনসিরি জেলা	District du bas Subansiri
তিরপ জেলা	District de Tirap
মহাজাগতিক অণুতরঙ্গ পটভূমি বিকিরণ	Fond diffus cosmologique
থামোরা, স্পেন	Zamora
গ্লিজে ৫৮১	Gliese 581
সি (প্রোগ্রামিং ভাষা)	C (langage)
টলুইন	Toluène
এইচআইভি	Virus de l'immunodéficience humaine
এফসি বায়ার্ন মিউনিখ	Bayern Munich
ক্লাব আতলেতিকো রিভার প্লেত	Club Atlético River Plate
দানিয়েল পাসারেয়া	Daniel Passarella
সিরি এ	Championnat d'Italie de football
কুইন (যুক্তরাজ্যের ব্যান্ড)	Queen
তক্ষক	Gekkonidae
মেটালিকা	Metallica
এমিল ডুর্খাইম	Émile Durkheim
বিলিয়ন	Milliard (nombre)
ডেগেনডর্ফ	Deggendorf
স্টার ট্রেক: দ্য নেক্সট জেনারেশন	Star Trek : La Nouvelle Génération
প্যাট্রিক স্টুয়ার্ট	Patrick Stewart
উইলিয়াম শ্যাটনার	William Shatner
ব্যক্তিগত কম্পিউটার	Ordinateur personnel
লেনার্ড নিময়	Leonard Nimoy
মানব কঙ্কালে অস্থিসমূহের তালিকা	Liste des os du squelette humain
চার্লস কে. কাও	Charles Kao
মিদি-পিরেনে	Midi-Pyrénées
ফ্রঁশ্‌-কোঁতে	Franche-Comté
ব্রুস লি	Bruce Lee
দেকামেরোন	Décaméron
উইকিপিডিয়া:নির্বাচিত নিবন্ধ	Wikipédia:Articles de qualité
নরম্যান্ডি অবতরণ	Débarquement de Normandie
অপারেশন ওভারলর্ড	Bataille de Normandie
হাইপোথাইরয়েডিজম	Hypothyroïdie
উইকিপিডিয়া:আলোচনাসভা	Wikipédia:Le Bistro
পদ্ম	Nelumbo nucifera
শ্রেকহর্ন	Schreckhorn
ব্রাইটহর্ন	Breithorn
ভার্মন্ট	Vermont
সান ডিয়াগো	San Diego
সান জোস	San José (Californie)
ডেনভার	Denver
হিউস্টন	Houston
ফিনিক্স, অ্যারিজোনা	Phoenix (Arizona)
ডালাস	Dallas
ফোর্ট ওয়ার্থ	Fort Worth
অস্টিন	Austin (Texas)
এল প্যাসো	El Paso
মেম্ফিস	Memphis (Tennessee)
শার্লট	Charlotte (Caroline du Nord)
কলম্বাস	Columbus (Ohio)
জ্যাক্সনভিল	Jacksonville (Floride)
চিয়াং কাই-শেক	Tchang Kaï-chek
রোচা ডিপার্টমেন্ট	Rocha
গুয়াম	Guam
ওপেনসুয্যে	OpenSUSE
লং বিচ	Long Beach (Californie)
হোরাশিও কিরোগা	Horacio Quiroga
আইএসও ১৫৯২৪	ISO 15924
এডগার অ্যালান পো	Edgar Allan Poe
কনস্টান্টিনোপল	Constantinople
হাসপাতাল	Hôpital
ইয়ানোশ বলিয়ই	János Bolyai
সিউল সাবওয়ে	Métro de Séoul
পূর্ব জার্মানি	République démocratique allemande
ওত্‌-নর্‌মঁদি	Haute-Normandie
গির্জা	Église (édifice)
দেং জিয়াওপিং	Deng Xiaoping
মাউন্ট এটনা	Etna
লংগ্‌দক-রুসিয়্যোঁ	Languedoc-Roussillon
পোয়াতু-শারন্ত্‌	Poitou-Charentes
গুয়াদলুপ	Guadeloupe
ওকল্যান্ড	Oakland (Californie)
মার্তিনিক	Martinique
মায়োত	Mayotte
রেউনিওঁ	La Réunion
ঘড়িয়াল	Gavial du Gange
ব্যাকস্ট্রিট বয়েজ	Backstreet Boys
ডিম (জীববিজ্ঞান)	Œuf (biologie)
কার্লোস পুয়োল	Carles Puyol
ইয়োহান ক্রুইফ	Johan Cruijff
রোমান প্রজাতন্ত্র	République romaine
কেনউড কর্পোরেশন	Kenwood (entreprise)
তিব্বত	Tibet
বৃত্ত	Cercle
চতুর্দশ দলাই লামা	Tenzin Gyatso
ইউক্লিডীয় স্থান	Espace euclidien
চৌ এন-লাই	Zhou Enlai
চীনের কমিউনিস্ট পার্টি	Parti communiste chinois
জন ভন নিউম্যান	John von Neumann
ডোনাল্ড কানুথ	Donald Knuth
নুপিডিয়া	Nupedia
উইকিয়া	Wikia
আনসাইক্লোপিডিয়া	Désencyclopédie
থিয়াগো আলকান্তারা	Thiago Alcántara
সেস্‌ ফাব্রিগাস	Cesc Fàbregas
জাভি হার্নান্দেজ	Xavi
হেরার্দ পিকে	Gerard Piqué
দিয়েগো মারাদোনা	Diego Maradona
মোবাইল ফোন	Téléphone mobile
আনুশেহ্‌ আনসারি	Anousheh Ansari
উটপাখি	Autruche d'Afrique
হংকং আন্তর্জাতিক বিমানবন্দর	Aéroport international de Hong Kong
স্টিফেন হকিং	Stephen Hawking
স্বতঃসিদ্ধ	Axiome
তত্ত্ব	Théorie
স্টার ওয়ার্স - দি নিউ হোপ	Star Wars, épisode IV : Un nouvel espoir
এলজিবিটি	Lesbiennes, gays, bisexuels et transgenres
যৌন অভিমুখিতা	Orientation sexuelle
আর্লিংটন	Arlington (Texas)
জ্যাবিরু	Jabiru d'Amérique
ভিভা ইয়র্ক	Viva (BHNS)
টরন্টো ট্রানজিট	Toronto Transit Commission
সাক্রামেন্টো	Sacramento
হনুলুলু	Honolulu
কোরিয়া	Corée
বাইসন	Bison
১৯২৫	1925
১৯২৭	1927
লি কেকিয়াং	Li Keqiang
ম্যানচেস্টার	Manchester
গাও শিংশিয়ান	Gao Xingjian
অ্যাসপিরিন	Acide acétylsalicylique
টার্কস্‌ ও কেইকোস দ্বীপপুঞ্জ	Îles Turques-et-Caïques
অ্যাবা	ABBA
মাংসাশী উদ্ভিদ	Plante carnivore
কণা পদার্থবিজ্ঞান	Physique des particules
প্রমিত মডেল	Modèle standard (physique des particules)
তমোশক্তি	Énergie sombre
ভৌত বিশ্বতত্ত্ব	Cosmologie physique
মহাকর্ষ ধ্রুবক	Constante gravitationnelle
ব্রুকলিন	Brooklyn
কুইন্‌স	Queens
ব্রঙ্ক্‌স	Bronx
জোসেফ স্টিগ্‌লিয্‌	Joseph Eugene Stiglitz
স্টেটেন দ্বীপ	Staten Island
লং আইল্যান্ড	Long Island
১০০০	1000
৯৯৯	999
বের্টা ফন জুটনার	Bertha von Suttner
নেকড়ে	Canis lupus
গ্রিম্‌স্‌বি টাউন ফুটবল ক্লাব	Grimsby Town Football Club
আত্মঘাতী গোল	But contre son camp
উপমা	Métaphore
সাংহাই টাওয়ার	Tour Shanghai
ওপেথ	Opeth
টুসান	Tucson
১৯৫৫	1955
১৯৫৪	1954
১৯৫৩	1953
১৯৫১	1951
১৯৫০	1950
১৯৪৬	1946
১৯৪৩	1943
১৯৪২	1942
১৯৪০	1940
১৯৩৯	1939
১৯৩৮	1938
১৯৩৭	1937
১৯৩৬	1936
ম্যানচেস্টার ইউনাইটেড ফুটবল ক্লাব	Manchester United Football Club
১৯৩৫	1935
সোয়ানসি সিটি অ্যাসোসিয়েশন ফুটবল ক্লাব	Swansea City Association Football Club
মিডল্‌স্‌ব্রো ফুটবল ক্লাব	Middlesbrough Football Club
ফুলহ্যাম ফুটবল ক্লাব	Fulham Football Club
অ্যাস্টন ভিলা ফুটবল ক্লাব	Aston Villa Football Club
১৯৩৪	1934
নিউক্যাসেল ইউনাইটেড ফুটবল ক্লাব	Newcastle United Football Club
কুইন্স পার্ক রেঞ্জার্স ফুটবল ক্লাব	Queens Park Rangers Football Club
১৯৩৩	1933
রেডিং ফুটবল ক্লাব	Reading Football Club
